Zodiac_Sign_x,Zodiac_Sign_y,Count
Libra,Libra,18
Sagittarius,Virgo,17
Leo,Aquarius,17
Scorpio,Virgo,16
Capricorn,Gemini,16
Cancer,Cancer,16
Sagittarius,Aquarius,15
Capricorn,Leo,15
Scorpio,Aries,15
Scorpio,Aquarius,15
Sagittarius,Sagittarius,15
Leo,Libra,15
Aries,Leo,15
Virgo,Virgo,15
Pisces,Gemini,15
Libra,Pisces,14
Capricorn,Aquarius,14
Pisces,Scorpio,14
Libra,Cancer,14
Pisces,Sagittarius,14
Aquarius,Scorpio,14
Sagittarius,Taurus,14
Scorpio,Gemini,14
Pisces,Virgo,13
Libra,Taurus,13
Capricorn,Pisces,13
Scorpio,Pisces,13
Scorpio,Libra,13
Virgo,Pisces,13
Virgo,Sagittarius,13
Pisces,Libra,13
Taurus,Virgo,13
Gemini,Pisces,13
Taurus,Aries,13
Leo,Pisces,13
Leo,Gemini,13
Leo,Scorpio,12
Sagittarius,Scorpio,12
Pisces,Aries,12
Aries,Aquarius,12
Aquarius,Pisces,12
Aries,Libra,12
Aries,Cancer,12
Aries,Aries,12
Aquarius,Taurus,12
Aries,Sagittarius,12
Taurus,Pisces,12
Virgo,Taurus,12
Pisces,Pisces,11
Gemini,Taurus,11
Aquarius,Gemini,11
Leo,Virgo,11
Pisces,Capricorn,11
Sagittarius,Aries,11
Sagittarius,Capricorn,11
Taurus,Cancer,11
Capricorn,Aries,11
Scorpio,Taurus,11
Gemini,Scorpio,11
Cancer,Libra,11
Cancer,Gemini,11
Gemini,Sagittarius,11
Aries,Scorpio,10
Leo,Cancer,10
Taurus,Gemini,10
Virgo,Scorpio,10
Taurus,Leo,10
Aquarius,Leo,10
Cancer,Pisces,10
Scorpio,Leo,10
Aquarius,Virgo,10
Cancer,Leo,10
Cancer,Aries,10
Virgo,Gemini,10
Aries,Virgo,10
Sagittarius,Libra,10
Leo,Aries,10
Sagittarius,Pisces,9
Scorpio,Capricorn,9
Taurus,Sagittarius,9
Virgo,Libra,9
Taurus,Scorpio,9
Virgo,Cancer,9
Pisces,Aquarius,9
Libra,Aquarius,9
Gemini,Libra,9
Leo,Taurus,9
Capricorn,Sagittarius,9
Capricorn,Virgo,9
Gemini,Aries,9
Gemini,Leo,9
Aries,Capricorn,9
Cancer,Virgo,9
Libra,Capricorn,9
Gemini,Cancer,8
Capricorn,Capricorn,8
Capricorn,Taurus,8
Scorpio,Sagittarius,8
Scorpio,Scorpio,8
Taurus,Capricorn,8
Gemini,Virgo,8
Leo,Capricorn,8
Virgo,Aquarius,8
Virgo,Aries,8
Taurus,Aquarius,8
Cancer,Taurus,8
Aquarius,Aries,8
Libra,Sagittarius,8
Gemini,Aquarius,7
Taurus,Libra,7
Aquarius,Cancer,7
Aquarius,Libra,7
Cancer,Aquarius,7
Pisces,Leo,7
Aquarius,Sagittarius,7
Taurus,Taurus,7
Gemini,Gemini,7
Libra,Leo,7
Libra,Gemini,7
Libra,Virgo,7
Cancer,Capricorn,6
Aries,Taurus,6
Virgo,Leo,6
Capricorn,Scorpio,6
Capricorn,Cancer,6
Sagittarius,Gemini,6
Libra,Scorpio,6
Pisces,Taurus,6
Sagittarius,Cancer,6
Aquarius,Aquarius,6
Scorpio,Cancer,6
Cancer,Scorpio,5
Cancer,Sagittarius,5
Capricorn,Libra,5
Aries,Pisces,5
Gemini,Capricorn,4
Leo,Leo,4
Virgo,Capricorn,4
Aries,Gemini,4
Pisces,Cancer,4
Leo,Sagittarius,4
Libra,Aries,4
Sagittarius,Leo,3
Aquarius,Capricorn,3
